"house","name","native_or_non_native","type","dissemination_area"
"P11","Rutabaga","non-native","plant","P1"
"P11","Leek","non-native","plant","P1"
"P11","Bok choy","non-native","plant","P1"
"P11","Garlic","non-native","plant","P1"
"P11","English holly","non-native","plant","P1"
"P12","Aloe vera","non-native","plant","P1"
"P12","Ditch lily","non-native","plant","P1"
"P12","Chives","non-native","plant","P1"
"P12","Sorrel","non-native","plant","P1"
"P12","Pussy willow","native","plant","P1"
"P12","Tiger lily","non-native","plant","P1"
"P12","Peony","non-native","plant","P1"
"P12","Sweet woodruff","non-native","plant","P1"
"P12","New england aster","native","plant","P1"
"P12","Large yellow loosestrife","non-native","plant","P1"
"P12","Indian shot","non-native","plant","P1"
"P13","Mugwort","non-native","plant","P1"
"P13","Jerusalem artichoke","non-native","plant","P1"
"P13","Sweet fennel","non-native","plant","P1"
"P13","Field mustard","non-native","plant","P1"
"P13","Rue","non-native","plant","P1"
"P13","Lady fern","native","plant","P1"
"P13","Dandelion","non-native","plant","P1"
"P13","Bouncing-bet","non-native","plant","P1"
"P13","Rhubarb","non-native","plant","P1"
"P13","Spanish bluebell","non-native","plant","P1"
"P13","Garden snapdragon","non-native","plant","P1"
"P13","Wall lettuce","non-native","plant","P1"
"P13","Common evening-primrose","non-native","plant","P1"
"P13","Orpine","non-native","plant","P1"
"P13","Clustered bellflower","non-native","plant","P1"
"P13","Feverfew","non-native","plant","P1"
"P13","European plum","non-native","plant","P1"
"P13","Fringed willowherb","native","plant","P1"
"P13","Clammy ground cherry","non-native","plant","P1"
"P13","Creeping woodsorrel","non-native","plant","P1"
"P13","Spearmint","non-native","plant","P1"
"P13","Obedient plant","non-native","plant","P1"
"P13","Common plantain","non-native","plant","P1"
"P13","Chives","non-native","plant","P1"
"P13","Oregano","non-native","plant","P1"
"P14","Buckwheat","non-native","plant","P1"
"P14","Creeping jenny","non-native","plant","P1"
"P14","Common bugle","non-native","plant","P1"
"P14","Montbretia","non-native","plant","P1"
"P14","Tiger lily","non-native","plant","P1"
"P14","Blue fescue","non-native","plant","P1"
"P21","Spanish bluebell","non-native","plant","P2"
"P21","Creeping buttercup","non-native","plant","P2"
"P21","Ditch lily","non-native","plant","P2"
"P21","Hot pepper","non-native","plant","P2"
"P21","Onion","non-native","plant","P2"
"P21","Rosemary","non-native","plant","P2"
"P21","Garden tulips","non-native","plant","P2"
"P21","Oregano","non-native","plant","P2"
"P21","Plantain lily","non-native","plant","P2"
"P21","Spring onion","non-native","plant","P2"
"P21","Strawberry","native","plant","P2"
"P21","Hardy fuchsia","non-native","plant","P2"
"P22","Spanish bluebell","non-native","plant","P2"
"P22","Solomon's seal","native","plant","P2"
"P22","Lop grass","non-native","plant","P2"
"P22","Tiger lily","non-native","plant","P2"
"P22","Common sowthistle","non-native","plant","P2"
"P22","Crevice alumroot","non-native","plant","P2"
"P22","Tiger flower","non-native","plant","P2"
"P22","Common bugle","non-native","plant","P2"
"P22","Cheddar pink","non-native","plant","P2"
"P22","Wall lettuce","non-native","plant","P2"
"P22","Creeping buttercup","non-native","plant","P2"
"P22","Red hot poker","non-native","plant","P2"
"P22","Lenten rose","non-native","plant","P2"
"P22","Lesser trefoil","non-native","plant","P2"
"P22","White clover","non-native","plant","P2"
"P31","Choy sum","non-native","plant","P3"
"P31","Crown daisy","non-native","plant","P3"
"P31","Beet","non-native","plant","P3"
"P31","Field mustard","non-native","plant","P3"
"P31","Potato","non-native","plant","P3"
