house,bird_diversity,canopy_cover_radius_50m,canopy_cover_radius_100m,economic_level,plant_and_shrub_diversity,tree_species_diversity,overall_garden_diversity,garden_size,canopy_cover_garden,grass_percentage,herbaceous_percentage,shrub_percentage,tree_percentage,dissemination_area,native_percent_total
M11,28,20.408163267131027,20.0727272733391,78.5,79,4,83,57,36.52101459798135,0,60,20,20,M1,4.611111111111111
M12,42,13.702623902050167,30.589949017606983,78.5,9,5,14,75.19,42.411500823462205,30,3,5,15,M1,2.8
M13,21,42.85714286261758,37.928519327150376,78.5,5,0,5,12.3,0,0,20,30,10,M1,0
M14,48,50.7246376807913,35.204081633923984,78.5,52,3,55,160,30,10,30,20,10,M1,5.5
M21,48,24.561403510794825,21.262699564685576,104,10,0,10,142.5,0,75,5,5,10,M2,2.5
M22,42,30.32069970372495,27.352297593494335,104,13,1,14,110,14.137166941154069,75,20,5,10,M2,14
M23,42,44.0579710205668,32.234432234749704,104,38,3,41,81,43.82521751757761,40,50,10,50,M2,4.555555555555555
M24,48,37.79069767775102,26.292789511957043,104,12,3,15,198,51.365039886193124,40,40,15,30,M2,3
M31,46,7.624633432893738,5.873821612332229,98,20,7,27,173.25,38.170350741116,40,20,20,15,M3,6.75
M41,20,17.201166173011487,20.68463219384393,93,32,3,35,142,30.63052837250048,0,10,70,10,M4,7
M42,48,30.635838154827404,25.639152663603333,93,28,5,33,209,54.19247327442393,50,30,10,25,M4,6.6
P11,40,15.339233045515964,11.820159538153607,52,8,2,10,55.85,12.487830798019427,40,50,10,10,P1,10
P12,3,18.604651164271765,8.375819374099237,52,14,4,18,62.5,18.84955592153876,5,60,15,10,P1,9
P13,38,18.658892130700675,9.803921571310303,52,29,1,30,187,12.959069696057897,0,40,20,5,P1,15
P14,41,11.953352760182346,9.170305675324093,52,13,0,13,50,0,40,20,20,0,P1,13
P21,32,20.69970845145863,15.827862873800747,48,16,3,19,122,16.72898088036565,75,15,5,1,P2,6.333333333333333
P22,39,21.238938056300015,22.9151559099876,48,20,8,28,105,141.63085080546185,0,2,30,80,P2,9.333333333333334
P31,34,13.333333335026703,12.143379663780422,57.6,40,0,40,78,0,5,60,20,0,P3,40
P32,32,17.97101449606674,10.810810810983815,57.6,14,2,16,122,22.383847656827278,5,90,10,5,P3,8
P41,40,10.233918136484336,12.409288824415468,51.2,36,0,36,237,0,80,10,10,0,P4,12
R11,40,61.58357771140417,51.63398693072503,182,14,10,24,402,145.6128194938869,40,5,10,30,R1,12
R12,40,76.16279069537876,74.10649161180822,182,19,0,19,49.5,0,0,20,60,0,R1,9.5
R13,39,72.40356082889289,73.82501807857155,182,21,10,31,297,141.13604996252144,40,10,30,20,R1,3.875
R21,40,32.369942201289774,32.43243243191342,130,21,5,26,178.65,64.79534848028948,60,10,20,10,R2,5.2
R22,42,25.81602373987551,23.947750359780397,130,24,4,28,155,42.647120272481445,65,10,20,5,R2,9.333333333333334
R23,46,24.057971020566804,33.187454411394405,130,13,15,28,270,84.11614329986674,40,10,30,20,R2,14
R31,37,74.05247813373835,59.54810495805588,135,36,10,46,229.5,44.76769531365455,20,30,30,20,R3,11.5
R32,39,59.47521866261643,63.590116280300904,135,16,3,19,140,32.98672286269283,70,5,5,10,R3,4.75
R33,41,56.7251461917128,71.19013062453361,135,27,3,30,256,28.74557278034661,40,20,40,10,R3,15
R34,38,66.37426900940675,59.47712418356805,135,24,4,28,132,60.55419839794327,40,20,10,20,R3,7
