house,species,native,type,fruiting,flowering,grain,dissemination_area,economic_group_code,economic_group,economic_level
P11,Rutabaga,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P11,Leek,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P11,Bok choy,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P11,Garlic,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P11,English holly,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P11,Juniperus comunis,TRUE,shrub,FALSE,FALSE,FALSE,P1,P,Low,52
P11,Ilex,FALSE,shrub,FALSE,FALSE,FALSE,P1,P,Low,52
P11,Chamaecyparis,FALSE,shrub,FALSE,FALSE,FALSE,P1,P,Low,52
P12,Aloe vera,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P12,Ditch lily,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P12,Chives,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P12,Sorrel,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P12,Pussy willow,TRUE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P12,Tiger lily,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P12,Peony,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P12,Sweet woodruff,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P12,New england aster,TRUE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P12,Large yellow loosestrife,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P12,Indian shot,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P12,Actinidia chinensis,FALSE,shrub,FALSE,FALSE,FALSE,P1,P,Low,52
P12,Rosa chinensis,FALSE,shrub,FALSE,FALSE,FALSE,P1,P,Low,52
P12,Wisteria sinensis,FALSE,shrub,FALSE,FALSE,FALSE,P1,P,Low,52
P13,Mugwort,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P13,Jerusalem artichoke,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P13,Sweet fennel,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P13,Field mustard,FALSE,plant,TRUE,FALSE,FALSE,P1,P,Low,52
P13,Rue,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P13,Lady fern,TRUE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P13,Dandelion,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P13,Bouncing-bet,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P13,Rhubarb,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P13,Spanish bluebell,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P13,Garden snapdragon,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P13,Wall lettuce,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P13,Common evening-primrose,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P13,Orpine,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P13,Clustered bellflower,FALSE,plant,TRUE,FALSE,FALSE,P1,P,Low,52
P13,Feverfew,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P13,European plum,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P13,Fringed willowherb,TRUE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P13,Clammy ground cherry,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P13,Creeping woodsorrel,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P13,Spearmint,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P13,Obedient plant,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P13,Common plantain,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P13,Chives,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P13,Oregano,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P13,China rose,FALSE,shrub,TRUE,FALSE,FALSE,P1,P,Low,52
P13,Chinese boxthorn,FALSE,shrub,FALSE,FALSE,FALSE,P1,P,Low,52
P13,Chinese wolfberry,FALSE,shrub,FALSE,FALSE,FALSE,P1,P,Low,52
P14,Buckwheat,FALSE,plant,TRUE,FALSE,FALSE,P1,P,Low,52
P14,Creeping jenny,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P14,Common bugle,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P14,Montbretia,FALSE,plant,TRUE,FALSE,FALSE,P1,P,Low,52
P14,Tiger lily,FALSE,plant,TRUE,FALSE,FALSE,P1,P,Low,52
P14,Blue fescue,FALSE,plant,FALSE,FALSE,FALSE,P1,P,Low,52
P14,Japanese maple,FALSE,shrub,FALSE,FALSE,FALSE,P1,P,Low,52
P14,Hortensia,FALSE,shrub,TRUE,FALSE,FALSE,P1,P,Low,52
P14,Japanese pieris,FALSE,shrub,FALSE,FALSE,FALSE,P1,P,Low,52
P14,Mirror plant,FALSE,shrub,FALSE,FALSE,FALSE,P1,P,Low,52
P14,Rose of sharon,FALSE,shrub,FALSE,FALSE,FALSE,P1,P,Low,52
P14,Dappled willow,FALSE,shrub,TRUE,FALSE,FALSE,P1,P,Low,52
P14,Pacific rhododendron,TRUE,shrub,FALSE,FALSE,FALSE,P1,P,Low,52
P21,Spanish bluebell,FALSE,plant,FALSE,FALSE,FALSE,P2,P,Low,48
P21,Creeping buttercup,FALSE,plant,FALSE,FALSE,FALSE,P2,P,Low,48
P21,Ditch lily,FALSE,plant,FALSE,FALSE,FALSE,P2,P,Low,48
P21,Hot pepper,FALSE,plant,FALSE,FALSE,FALSE,P2,P,Low,48
P21,Onion,FALSE,plant,FALSE,FALSE,FALSE,P2,P,Low,48
P21,Rosemary,FALSE,plant,FALSE,FALSE,FALSE,P2,P,Low,48
P21,Garden tulips,FALSE,plant,FALSE,FALSE,FALSE,P2,P,Low,48
P21,Oregano,FALSE,plant,FALSE,FALSE,FALSE,P2,P,Low,48
P21,Plantain lily,FALSE,plant,FALSE,FALSE,FALSE,P2,P,Low,48
P21,Spring onion,FALSE,plant,FALSE,FALSE,FALSE,P2,P,Low,48
P21,Strawberry,TRUE,plant,TRUE,FALSE,FALSE,P2,P,Low,48
P21,Hardy fuchsia,FALSE,plant,TRUE,FALSE,FALSE,P2,P,Low,48
P21,Vine kiwi,FALSE,shrub,FALSE,FALSE,FALSE,P2,P,Low,48
