"house","name","native_or_non_native","species","family","coniferous_not","dbh_out_cm","ht_m","canopy_density_percent","cbh","density_g_cm3","biomass_chave_kg","basal_area_m_2","canopy_width_m","canopy_length_m","crown_area_m2","type","dissemination_area"
"P11","Common fig","non-native","Ficus carica","Moraceae","dec",13,4,15,"1.6",0.56,22.0940103857185,0.0132732289614169,1.7,1.4,1.86924762888593,"tree","P1"
"P11","Apple","non-native","Malus domestica","Rosaceae","dec",42,1.8,5,"0.5",0.65,115.650384273029,0.13854423602331,2.6,3.9,7.96393737685012,"tree","P1"
"P12","Apple","non-native","Malus domestica","Rosaceae","dec",5.3,2.3,60,"0.4",0.65,2.58375521210723,0.00220618344098343,2.2,1.8,3.1101767270539,"tree","P1"
"P12","Japanese persimmon","non-native","Diospyros kaki","Ebenaceae","dec",6,2.5,30,"1.3",0.78,4.26618894185315,0.00282743338823081,2.1,1.9,3.13373867195582,"tree","P1"
"P12","Grape vine","non-native","Vitis vinifera","Vitaceae","dec",5.1,2,25,"0.6",0.64,2.05981861361852,0.00204282062299676,5.5,0.5,2.15984494934298,"tree","P1"
"P12","Common pear","non-native","Pyrus communis","Rosaceae","dec",10.2,4.9,85,"1.7",0.67,19.9840257691215,0.00817128249198705,4.8,3.8,14.3256625003695,"tree","P1"
"P13","European plum","non-native","Prunus domestica","Rosaceae","dec",33.3,7,40,"1.75",0.6,255.927830664529,0.0870920169409796,6,5.5,25.9181393921158,"tree","P1"
"P21","Common fig","non-native","Ficus carica","Moraceae","dec",11.4,4.4,30,"1.5",0.56,18.7643990679734,0.0102070345315132,3.45,3.1,8.39983335753571,"tree","P2"
"P21","Common fig","non-native","Ficus carica","Moraceae","dec",10.9,4.4,30,"1.8",0.56,17.1914660847779,0.00933131557932508,3.45,3.1,8.39983335753571,"tree","P2"
"P21","Ginkgo","non-native","Ginkgo biloba","Ginkgoaceae","con",9,3,5,"2",0.44,6.43245267225132,0.00636172512351933,1,0.9,0.706858347057703,"tree","P2"
"P22","Western redcedar","native","Thuja plicata","Cupressaceae","con",66.3,23,80,"0.5",0.32,1697.00146978549,0.345236685286453,7.4,7.4,43.0084034276443,"tree","P2"
"P22","Western redcedar","native","Thuja plicata","Cupressaceae","con",47.8,19.6,90,"0.4",0.32,766.52552787254,0.179450913965703,7.4,7.5,43.5895980685584,"tree","P2"
"P22","Western redcedar","native","Thuja plicata","Cupressaceae","con",49.4,21.3,90,"0.5",0.32,886.533069512727,0.19166542620286,7.4,7.6,44.1707927094725,"tree","P2"
"P22","Western redcedar","native","Thuja plicata","Cupressaceae","con",59.6,21.3,90,"0.35",0.32,1278.85302481288,0.278985994009388,7.4,7.7,44.7519873503866,"tree","P2"
"P22","Western redcedar","native","Thuja plicata","Cupressaceae","con",48.6,21.3,90,"0.4",0.32,858.724657836814,0.185507904601824,7.4,7.8,45.3331819913007,"tree","P2"
"P22","Western redcedar","native","Thuja plicata","Cupressaceae","con",57.8,21.3,90,"0.6",0.32,1204.54513143222,0.262388960020473,7.4,7.9,45.9143766322148,"tree","P2"
"P22","Western redcedar","native","Thuja plicata","Cupressaceae","con",45,21.3,90,"0.55",0.32,738.942699666728,0.159043128087983,7.4,7.1,41.2648195049019,"tree","P2"
"P22","Western redcedar","native","Thuja plicata","Cupressaceae","con",58.6,21.3,90,"0.5",0.32,1237.3030471729,0.26970258771803,7.4,7.11,41.3229389689933,"tree","P2"
"P32","Apple","non-native","Malus domestica","Rosaceae","dec",17,4,30,"1.5",0.65,43.1385304459198,0.0226980069221863,3.4,3.5,9.34623814442963,"tree","P3"
"P32","Japanese maple","non-native","Acer palmatum","Aceraceae","dec",31.46,6.2,10,"1.75",0.53,180.263425668104,0.0777333380896418,5,6,23.5619449019234,"tree","P3"
"M11","Paperbark maple","native","Acer griseum","Aceraceae","dec",10.5,6,70,"2",0.62,23.8905685543673,0.00865901475145687,2.4,3.5,6.59734457253857,"tree","M1"
"M11","Saucer magnolia","non-native","Magnolia × soulangeana","Magnoliaceae","dec",11.7,4.5,70,"2",0.45,16.299890738235,0.0107513154587477,3.8,2.5,7.46128255227576,"tree","M1"
"M11","Silver birch","non-native","Betula pendula","Betulaceae","dec",29.5,14,75,"3",0.57,377.974465332012,0.0683492751696629,7,5.5,30.2378292908018,"tree","M1"
"M11","Kousa dogwood","non-native","Cornus kousa","Cornaceae","dec",19.14,5,40,"2",0.6,62.5224607966005,0.0287722449019756,5.7,4,17.9070781254618,"tree","M1"
"M12","European beech","non-native","Fagus sylvatica","Fagaceae","dec",43.01,11,80,"1.2",0.72,783.246374553931,0.145287672508222,4,5,15.707963267949,"tree","M1"
"M12","Sawara cypress","non-native","Chamaecyparis pisifera","Cupressaceae","con",30,11.2,40,"1.2",0.39,216.906017227876,0.0706858347057703,3.5,3.5,9.62112750161874,"tree","M1"
"M12","Sawara cypress","non-native","Chamaecyparis pisifera","Cupressaceae","con",45,14.6,45,"1.2",0.39,619.973797360022,0.159043128087983,4.5,4.5,15.9043128087983,"tree","M1"
"M12","Japanese maple","non-native","Acer palmatum","Aceraceae","dec",14.14,3.6,40,"1.5",0.53,22.2605966723598,0.015703219463042,1.8,2,2.82743338823081,"tree","M1"
"M12","Southern magnolia","non-native","Magnolia grandifolia","Magnoliaceae","dec",15,3.6,75,"1.3",0.47,22.2159020527861,0.0176714586764426,3,3,7.06858347057703,"tree","M1"
"M14","Flowering dogwood","native","Cornus florida","Cornaceae","dec",15,8,70,"4",0.63,64.4640230706606,0.0176714586764426,4.8,3.5,13.1946891450771,"tree","M1"
"M14","Western red cedar","native","Thuja plicata","Cupressaceae","con",17,8,50,"2",0.32,42.4906686035636,0.0226980069221863,5,3,11.7809724509617,"tree","M1"
