House;Species;Native;Type;Fruiting;Flowering;Grain
P11;Rutabaga;non;Plant;n;n;n
;Leek;non;Plant;n;n;n
;Bok choy;non;Plant;n;n;n
;Garlic;non;Plant;n;n;n
;English Holly;non;Plant;n;n;n
;Juniperus comunis;native;Shrub;n;n;n
;Ilex;non;Shrub;n;n;n
;Chamaecyparis;non;Shrub;n;n;n
P12;Aloe vera;non;Plant;n;n;n
;Ditch lily;non;Plant;n;n;n
;Chives;non;Plant;n;n;n
;Sorrel;non;Plant;n;n;n
;Pussy willow;native;Plant;n;n;n
;Tiger lily;non;Plant;n;n;n
;Peony;non;Plant;n;n;n
;Sweet woodruff;non;Plant;n;n;n
;New england aster;native;Plant;n;n;n
;Large yellow loosestrife;non;Plant;n;n;n
;Indian Shot;non;Plant;n;n;n
;Actinidia chinensis;non;Shrub;n;n;n
;Rosa chinensis;non;Shrub;n;n;n
;Wisteria sinensis;non;Shrub;n;n;n
P13;mugwort;non;Plant;n;n;n
;Jerusalem artichoke;non;Plant;n;n;n
;sweet fennel;non;Plant;n;n;n
;field mustard;non;Plant;y;n;n
;rue;non;Plant;n;n;n
;lady fern;native;Plant;n;n;n
;dandelion;non;Plant;n;n;n
;bouncing-bet;non;Plant;n;n;n
;rhubarb;non;Plant;n;n;n
;Spanish bluebell;non;Plant;n;n;n
;garden snapdragon;non;Plant;n;n;n
;wall lettuce;non;Plant;n;n;n
;common evening-primrose;non;Plant;n;n;n
;orpine;non;Plant;n;n;n
;clustered bellflower;non;Plant;y;n;n
;feverfew;non;Plant;n;n;n
;European plum;non;Plant;n;n;n
;fringed willowherb;native;Plant;n;n;n
;clammy ground cherry;non;Plant;n;n;n
;creeping woodsorrel;non;Plant;n;n;n
;spearmint;non;Plant;n;n;n
;obedient plant;non;Plant;n;n;n
;common plantain;non;Plant;n;n;n
;chives;non;Plant;n;n;n
;oregano;non;Plant;n;n;n
;china rose;non;Shrub;y;n;n
;Chinese boxthorn;non;Shrub;n;n;n
;Chinese wolfberry;non;Shrub;n;n;n
P14;buckwheat;non;Plant;y;n;n
;creeping jenny;non;Plant;n;n;n
;common bugle;non;Plant;n;n;n
;montbretia;non;Plant;y;n;n
;tiger lily;non;Plant;y;n;n
;blue fescue;non;Plant;n;n;n
;japanese maple;non;Shrub;n;n;n
;hortensia;non;Shrub;y;n;n
;japanese pieris;non;Shrub;n;n;n
;mirror plant;non;Shrub;n;n;n
;rose of sharon;non;Shrub;n;n;n
;dappled willow;non;Shrub;y;n;n
;pacific rhododendron;native;Shrub;n;n;n
P21;Spanish bluebell;non;Plant;n;n;n
;Creeping buttercup;non;Plant;n;n;n
;Ditch lily;non;Plant;n;n;n
;Hot pepper;non;Plant;n;n;n
;Onion;non;Plant;n;n;n
;Rosemary;non;Plant;n;n;n
;garden tulips;non;Plant;n;n;n
;oregano;non;Plant;n;n;n
;Plantain lily;non;Plant;n;n;n
